STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(4, 6, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6, 1, 1, 1)",0.05495379089793167,-0.06063809421842101,0.18950974459652115,-0.9590716241961863,-0.034389463589467394,-2.470248327564328
"(4, 7, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7, 1, 1, 1)",0.7673125847745995,0.015029467849816423,0.019293510897733648,0.019805641143659666,0.06022265969853759,-2.2986826432621377
"(4, 8, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 8, 1, 1, 1)",0.0013013895387499995,-0.06900390326450627,-0.00512074200245956,0.15866674779540824,-0.05750890696402189,-2.2859357982182074
"(4, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 9, 1, 1, 1)",-0.0024108144180585004,-0.047793789981722186,-0.06218921451162188,-0.0032391082444588135,-0.05279097417192916,-0.5702290273697157
